date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-09,Pistoia,Pesaro,31.26027397260274,1,33,4,7,0.000,0,0,0.0,1,2,0.5,3,8,11,0,1,0,4,4,9,5.199999999999999,1
2019-08-12,Pistoia,Venezia,31.435616438356163,1,32,5,14,0.000,0,0,0.0,4,8,0.5,5,7,12,0,0,1,1,3,14,8.7,-23
2018-09-09,Pistoia,Milano,30.51232876712329,1,33,10,13,0.000,0,0,0.0,1,3,0.333,3,4,7,1,3,0,4,4,21,16.499999999999996,-16
2019-04-21,Pistoia,Brindisi,31.126027397260273,1,38,6,11,0.000,0,0,0.0,1,4,0.25,5,10,15,0,0,0,3,1,13,9.6,-7
2019-08-07,Pistoia,Trieste,31.421917808219177,1,26,4,8,0.000,0,0,0.0,6,9,0.667,3,5,8,0,1,0,5,4,14,6.800000000000001,-20
2019-06-11,Pistoia,Cremona,31.265753424657536,1,37,2,6,0.000,0,0,0.0,0,0,0.0,3,12,15,2,0,1,0,3,4,7.199999999999998,-17
2019-01-01,Pistoia,Sassari,30.824657534246576,1,34,2,6,0.000,0,0,0.0,2,3,0.667,3,6,9,1,2,0,1,5,6,5.800000000000001,4
2019-04-05,Pistoia,Reggio Emilia,31.08219178082192,1,27,7,9,0.000,0,0,0.0,1,2,0.5,1,7,8,1,1,1,2,4,15,12.699999999999998,5
2019-06-23,Pistoia,Brescia,31.2986301369863,1,32,3,5,0.600,0,1,0.0,2,4,0.5,6,6,12,3,1,0,1,2,8,12.199999999999998,3
2019-02-09,Pistoia,Virtus Bologna,30.93150684931507,1,31,6,10,0.000,0,0,0.0,7,10,0.7,5,5,10,1,0,2,1,3,19,18.099999999999998,2
2018-10-03,Pistoia,Torino,30.578082191780823,1,33,5,8,0.000,0,0,0.0,0,2,0.0,5,8,13,0,0,1,1,3,10,10.0,5
2018-12-30,Pistoia,Trentino,30.81917808219178,1,29,6,10,0.000,0,0,0.0,0,0,0.0,2,10,12,2,0,0,3,3,12,9.0,-8
2018-12-17,Pistoia,Cantù,30.78356164383562,1,35,5,9,0.000,0,0,0.0,7,10,0.7,6,5,11,2,0,0,5,4,17,11.999999999999996,-17
2019-05-10,Pistoia,Varese,31.17808219178082,1,33,1,3,0.333,0,1,0.0,1,2,0.5,5,8,13,1,1,0,2,1,3,6.1,2
2018-11-13,Pistoia,Avellino,30.69041095890411,1,35,10,15,0.000,0,0,0.0,1,5,0.2,2,4,6,1,1,2,0,2,21,17.799999999999997,-8
2018-09-22,Pistoia,Pesaro,30.54794520547945,1,34,4,10,0.000,0,0,0.0,1,3,0.333,3,9,12,2,1,0,1,5,9,7.0,-1
2018-10-05,Pistoia,Venezia,30.583561643835615,1,34,4,8,0.500,0,1,0.0,10,12,0.833,3,3,6,3,2,0,3,4,18,15.699999999999996,-8
2019-05-21,Pistoia,Brindisi,31.208219178082192,1,19,4,8,0.500,0,1,0.0,4,5,0.8,0,7,7,0,0,0,2,3,12,6.5,1
2019-03-17,Pistoia,Trieste,31.030136986301372,1,33,4,10,0.400,0,1,0.0,5,6,0.833,4,6,10,2,1,0,3,4,13,9.600000000000001,-11
2018-12-27,Pistoia,Cremona,30.81095890410959,1,36,8,11,0.000,0,0,0.0,3,3,1.0,3,10,13,1,0,-1,1,3,19,17.400000000000002,-9
2019-06-28,Pistoia,Sassari,31.312328767123287,1,36,7,12,0.583,1,2,0.5,0,0,0.0,1,3,4,0,0,1,2,5,15,7.700000000000001,2
2019-01-08,Pistoia,Reggio Emilia,30.843835616438355,1,27,3,10,0.300,0,1,0.0,0,2,0.0,0,5,5,1,0,0,2,4,6,-2.0,-7
2019-01-21,Pistoia,Brescia,30.87945205479452,1,28,2,12,0.000,0,0,0.0,0,0,0.0,2,7,9,3,0,0,2,1,4,-0.399999999999999,-5
2018-12-12,Pistoia,Virtus Bologna,30.76986301369863,1,35,9,10,0.900,2,2,1.0,6,6,1.0,5,11,16,0,0,0,1,1,26,28.000000000000004,21
2019-03-03,Pistoia,Torino,30.991780821917807,1,30,4,10,0.400,0,2,0.0,3,4,0.75,2,11,13,4,0,0,0,2,11,11.899999999999999,-8
2019-06-06,Pistoia,Trentino,31.252054794520546,1,30,1,8,0.125,0,2,0.0,2,2,1.0,2,5,7,0,2,1,2,5,4,0.40000000000000036,-12
2018-10-15,Pistoia,Cantù,30.61095890410959,1,33,3,11,0.273,0,1,0.0,2,4,0.5,3,9,12,1,0,1,2,4,8,3.3000000000000007,-2
2019-04-07,Pistoia,Varese,31.087671232876712,1,33,3,11,0.000,0,0,0.0,4,11,0.364,1,5,6,2,2,0,1,2,10,4.499999999999999,-27
