date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-04-17,Venezia,Varese,28.945205479452056,1,24,5,11,0.455,5,7,0.714,2,2,1.0,2,4,6,2,1,1,1,3,17,14.8,8
2019-03-22,Venezia,Trentino,28.873972602739727,0,18,7,11,0.636,4,7,0.571,6,7,0.857,0,4,4,2,0,0,2,4,24,17.7,3
2019-06-21,Venezia,Brindisi,29.123287671232877,1,23,1,5,0.200,0,3,0.0,1,2,0.5,0,2,2,3,1,0,2,0,3,1.1999999999999993,-1
2019-03-04,Venezia,Cremona,28.824657534246576,0,20,6,11,0.545,5,7,0.714,4,4,1.0,0,5,5,2,0,0,1,1,21,17.2,14
2019-08-18,Venezia,Virtus Bologna,29.28219178082192,0,24,5,6,0.833,3,4,0.75,4,4,1.0,2,4,6,1,0,0,4,2,17,13.299999999999997,-3
2018-12-24,Venezia,Torino,28.632876712328766,0,25,7,12,0.583,4,8,0.5,6,7,0.857,1,3,4,1,0,0,0,1,24,19.900000000000002,-11
2019-01-22,Venezia,Cantù,28.71232876712329,0,26,6,14,0.429,3,9,0.333,5,6,0.833,1,7,8,0,0,0,2,3,20,11.799999999999997,-14
2018-09-02,Venezia,Pistoia,28.323287671232876,0,21,2,10,0.200,2,8,0.25,2,2,1.0,0,4,4,1,0,0,1,0,8,2.700000000000001,0
2019-01-23,Venezia,Avellino,28.715068493150685,0,28,6,15,0.400,4,10,0.4,2,2,1.0,1,4,5,0,0,1,0,1,18,12.099999999999996,-8
2019-02-15,Venezia,Reggio Emilia,28.778082191780822,0,30,3,11,0.273,1,6,0.167,3,4,0.75,4,4,8,4,0,1,2,2,10,7.799999999999999,5
2018-10-31,Venezia,Brescia,28.484931506849314,1,23,5,10,0.500,3,7,0.429,2,2,1.0,1,1,2,3,0,0,1,3,15,10.899999999999999,-17
2019-01-12,Venezia,Sassari,28.684931506849317,1,38,6,14,0.429,3,9,0.333,2,4,0.5,1,9,10,6,0,0,4,2,17,11.599999999999998,2
2019-08-23,Venezia,Capo d'Orlando,29.295890410958904,1,32,7,13,0.538,4,10,0.4,1,1,1.0,0,5,5,4,1,1,3,1,19,15.3,22
2019-08-14,Venezia,Pesaro,29.27123287671233,1,35,1,6,0.167,0,5,0.0,0,0,0.0,1,2,3,12,0,0,4,2,2,3.0999999999999996,2
2019-02-19,Milano,Pistoia,28.78904109589041,1,21,3,6,0.500,2,5,0.4,0,0,0.0,0,0,0,3,0,0,1,1,8,5.699999999999999,4
